activity subject variable mean_variable
laying 1 tBodyAcc.mean.X 0.22159824394
laying 1 tBodyAcc.mean.Y -0.0405139534294
laying 1 tBodyAcc.mean.Z -0.11320355358
laying 1 tBodyAcc.std.X -0.9280564692
laying 1 tBodyAcc.std.Y -0.83682740562
laying 1 tBodyAcc.std.Z -0.826061401628
laying 1 tGravityAcc.mean.X -0.24888179828
laying 1 tGravityAcc.mean.Y 0.70554977346
laying 1 tGravityAcc.mean.Z 0.4458177198
laying 1 tGravityAcc.std.X -0.8968300184
laying 1 tGravityAcc.std.Y -0.90772000676
laying 1 tGravityAcc.std.Z -0.85236629022
laying 1 tBodyGyro.mean.X -0.016553093978
laying 1 tBodyGyro.mean.Y -0.064486124088
laying 1 tBodyGyro.mean.Z 0.14868943626
laying 1 tBodyGyro.std.X -0.87354386782
laying 1 tBodyGyro.std.Y -0.9510904402
laying 1 tBodyGyro.std.Z -0.9082846626
laying 2 tBodyAcc.mean.X 0.281373403958333
laying 2 tBodyAcc.mean.Y -0.0181587397583333
laying 2 tBodyAcc.mean.Z -0.107245610416667
laying 2 tBodyAcc.std.X -0.974059464791667
laying 2 tBodyAcc.std.Y -0.98027739875
laying 2 tBodyAcc.std.Z -0.984233296875
laying 2 tGravityAcc.mean.X -0.509754238125
laying 2 tGravityAcc.mean.Y 0.752536639375
laying 2 tGravityAcc.mean.Z 0.646834879583333
laying 2 tGravityAcc.std.X -0.959014441458333
laying 2 tGravityAcc.std.Y -0.988211865208333
laying 2 tGravityAcc.std.Z -0.984230418125
laying 2 tBodyGyro.mean.X -0.01847660675
laying 2 tBodyGyro.mean.Y -0.111800824583333
laying 2 tBodyGyro.mean.Z 0.144882846104167
laying 2 tBodyGyro.std.X -0.988275232916667
laying 2 tBodyGyro.std.Y -0.982291608958333
laying 2 tBodyGyro.std.Z -0.960306560416667
laying 3 tBodyAcc.mean.X 0.275516852741935
laying 3 tBodyAcc.mean.Y -0.0189556785048387
laying 3 tBodyAcc.mean.Z -0.101300477506452
laying 3 tBodyAcc.std.X -0.982776639193548
laying 3 tBodyAcc.std.Y -0.962057544516129
laying 3 tBodyAcc.std.Z -0.96369103483871
laying 3 tGravityAcc.mean.X -0.241758478064516
laying 3 tGravityAcc.mean.Y 0.837032099677419
laying 3 tGravityAcc.mean.Z 0.48870318516129
laying 3 tGravityAcc.std.X -0.982512193064516
laying 3 tGravityAcc.std.Y -0.981202749677419
laying 3 tGravityAcc.std.Z -0.964807543870968
laying 3 tBodyGyro.mean.X -0.0208170540330645
laying 3 tBodyGyro.mean.Y -0.0718507159435484
laying 3 tBodyGyro.mean.Z 0.137999561112903
laying 3 tBodyGyro.std.X -0.974545752096774
